Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
4787 Springwells,20005415.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Claytown,42.330364,-83.139706,"location
(42.330364, -83.139706)"
5025 Crane,19010134.,100.00,09/29/2016,Closed,Selected,,Side Lot,5,Gratiot Woods,42.379327,-83.005395,"location
(42.379327, -83.005395)"
3481 Crane,19010252.,100.00,01/14/2016,Closed,Selected,,Side Lot,5,East Village,42.36915,-82.99766,"location
(42.36915, -82.99766)"
19408 Bradford,21035071.,100.00,06/23/2016,Closed,Selected,,Side Lot,3,Pulaski,42.437932,-83.000789,"location
(42.437932, -83.000789)"
16148 Indiana,16035623.,100.00,07/11/2015,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.410504,-83.157554,"location
(42.410504, -83.157554)"
13576 Vaughan,22097641.,100.00,12/12/2016,Closed,Selected,,Side Lot,1,Brightmoor,42.385071,-83.237568,"location
(42.385071, -83.237568)"
13584 Vaughan,22097642.,100.00,12/12/2016,Closed,Selected,,Side Lot,1,Brightmoor,42.385164,-83.237572,"location
(42.385164, -83.237572)"
13982 Vaughan,22097657.,100.00,01/13/2016,Closed,Selected,,Side Lot,1,Brightmoor,42.387492,-83.237681,"location
(42.387492, -83.237681)"
14010 Vaughan,22097661.,100.00,03/23/2018,Closed,Selected,,Side Lot,1,Brightmoor,42.387896,-83.237697,"location
(42.387896, -83.237697)"
14380 Montrose,22053099.,100.00,06/25/2015,Closed,Selected,,Side Lot,1,Greenfield-Grand River,42.392842,-83.200239,"location
(42.392842, -83.200239)"
14235 Montrose,22053201.,100.00,07/11/2015,Closed,Selected,,Side Lot,1,Greenfield-Grand River,42.391242,-83.200693,"location
(42.391242, -83.200693)"
6462 Seminole,17007862.,100.00,04/03/2017,Closed,Selected,,Side Lot,3,Airport Sub,42.388716,-83.017719,"location
(42.388716, -83.017719)"
5113 Seminole,17008064.,100.00,03/13/2015,Closed,Selected,,Side Lot,5,Pingree Park,42.37846,-83.011011,"location
(42.37846, -83.011011)"
5101 Seminole,17008066.,100.00,03/13/2015,Closed,Selected,,Side Lot,5,Pingree Park,42.378315,-83.010906,"location
(42.378315, -83.010906)"
13082 Flanders,21011318.,100.00,04/07/2018,Closed,Selected,,Side Lot,4,Eden Gardens,42.416587,-82.980357,"location
(42.416587, -82.980357)"
5331 Belvidere,19007794.,100.00,07/03/2017,Closed,Selected,,Side Lot,5,Gratiot Woods,42.383226,-83.003721,"location
(42.383226, -83.003721)"
5019 Belvidere,19007828.,25.00,06/18/2017,Closed,Selected,,Community Partner,5,Gratiot Woods,42.380621,-83.001881,"location
(42.380621, -83.001881)"
19329 Alwar,21029266.,100.00,07/25/2015,Closed,Selected,,Side Lot,3,Franklin,42.43756,-82.979613,"location
(42.43756, -82.979613)"
5575 Manistique,21061448.,100.00,09/28/2017,Closed,Selected,,Side Lot,4,Chandler Park-Chalmers,42.400769,-82.958921,"location
(42.400769, -82.958921)"
5529 Manistique,21061455.,100.00,03/16/2016,Closed,Selected,,Side Lot,4,Chandler Park-Chalmers,42.400166,-82.95852,"location
(42.400166, -82.95852)"
5519 Manistique,21061456.,100.00,03/16/2016,Closed,Selected,,Side Lot,4,Chandler Park-Chalmers,42.40008,-82.958464,"location
(42.40008, -82.958464)"
15814 Greenlawn,16029374.001,100.00,07/11/2015,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.407673,-83.150436,"location
(42.407673, -83.150436)"
13359 Loretto,21012407.,100.00,05/19/2017,Closed,Selected,,Side Lot,4,Eden Gardens,42.41965,-82.97941,"location
(42.41965, -82.97941)"
811 Tennessee,21045859.,100.00,08/17/2015,Closed,Selected,,Side Lot,4,Jefferson Chalmers,42.366065,-82.957828,"location
(42.366065, -82.957828)"
751 Tennessee,21045869.,100.00,01/19/2017,Closed,Selected,,Side Lot,4,Jefferson Chalmers,42.365324,-82.957344,"location
(42.365324, -82.957344)"
637 Tennessee,21045889.,100.00,02/25/2016,Closed,Selected,,Side Lot,4,Jefferson Chalmers,42.363692,-82.95627,"location
(42.363692, -82.95627)"
620 Conner,21045991.,100.00,05/23/2016,Closed,Selected,,Side Lot,4,Jefferson Chalmers,42.363966,-82.954752,"location
(42.363966, -82.954752)"
624 Conner,21045992.,100.00,05/23/2016,Closed,Selected,,Side Lot,4,Jefferson Chalmers,42.36404,-82.9548,"location
(42.36404, -82.9548)"
9269 Olivet,20008377.,100.00,08/04/2016,Closed,Selected,,Side Lot,6,Springwells,42.29764,-83.131863,"location
(42.29764, -83.131863)"
2060 Woodmere,20008428.,100.00,08/18/2015,Closed,Selected,,Side Lot,6,Springwells,42.306133,-83.134464,"location
(42.306133, -83.134464)"
2068 Woodmere,20008429.,100.00,08/18/2015,Closed,Selected,,Side Lot,6,Springwells,42.306229,-83.134534,"location
(42.306229, -83.134534)"
2076 Woodmere,20008430.,100.00,08/18/2015,Closed,Selected,,Side Lot,6,Springwells,42.306326,-83.134604,"location
(42.306326, -83.134604)"
4420 Lumley,20008528.,100.00,06/20/2017,Closed,Selected,,Side Lot,6,Claytown,42.327462,-83.138106,"location
(42.327462, -83.138106)"
4422 Lumley,20008529.,100.00,06/20/2017,Closed,Selected,,Side Lot,6,Claytown,42.327534,-83.138158,"location
(42.327534, -83.138158)"
4430 Lumley,20008530.,100.00,01/14/2016,Closed,Selected,,Side Lot,6,Claytown,42.327606,-83.138212,"location
(42.327606, -83.138212)"
4438 Lumley,20008531.,100.00,01/14/2016,Closed,Selected,,Side Lot,6,Claytown,42.327679,-83.138264,"location
(42.327679, -83.138264)"
14614 Faircrest,21018754.,100.00,07/05/2016,Closed,Selected,,Side Lot,4,Mapleridge,42.431926,-82.972212,"location
(42.431926, -82.972212)"
9019 Ashton,22075812.,100.00,04/30/2015,Closed,Selected,,Side Lot,7,Franklin Park,42.359963,-83.218121,"location
(42.359963, -83.218121)"
