Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
6135 University Pl,21077450.,3000.00,04/19/2018,Closed,Selected,,Auction,4,Cornerstone Village,42.41736,-82.928488,"location
(42.41736, -82.928488)"
5554 Marseilles,21077596.,5100.00,10/27/2017,Closed,Selected,Investor,Auction,4,Cornerstone Village,42.413371,-82.923699,"location
(42.413371, -82.923699)"
5562 Marseilles,21077597.,1000.00,04/24/2015,Closed,Selected,Homebuyer,Auction,4,Cornerstone Village,42.41347,-82.923765,"location
(42.41347, -82.923765)"
5570 Marseilles,21077598.,4000.00,09/27/2016,Closed,Selected,Homebuyer,Auction,4,Cornerstone Village,42.413568,-82.92383,"location
(42.413568, -82.92383)"
5900 Marseilles,21077611.,1000.00,06/19/2015,Closed,Selected,Homebuyer,Auction,4,Cornerstone Village,42.416005,-82.925448,"location
(42.416005, -82.925448)"
6127 Marseilles,21077680.,1000.00,09/15/2016,Closed,Selected,Homebuyer,Auction,4,Cornerstone Village,42.417642,-82.927345,"location
(42.417642, -82.927345)"
16595 Birwood,16042467.,1000.00,06/22/2016,Closed,Selected,Homebuyer,Auction,2,Fitzgerald/Marygrove,42.413461,-83.16482,"location
(42.413461, -83.16482)"
18086 Mendota,16043036.,7000.00,10/10/2016,Closed,Selected,Homebuyer,Auction,2,Schulze,42.423529,-83.16576,"location
(42.423529, -83.16576)"
18461 Mendota,16043281.,10100.00,11/19/2014,Closed,Selected,Homebuyer,Auction,2,Schulze,42.42678,-83.166559,"location
(42.42678, -83.166559)"
17595 Mendota,16043321.,10400.00,12/18/2014,Closed,Selected,Investor,Auction,2,Schulze,42.42181,-83.166331,"location
(42.42181, -83.166331)"
16875 Mendota,16043371.,7100.00,11/17/2016,Closed,Selected,Investor,Auction,2,Fitzgerald/Marygrove,42.415468,-83.166046,"location
(42.415468, -83.166046)"
19494 Prest,22048859.,7800.00,06/22/2015,Closed,Selected,Homebuyer,Auction,2,San Bernardo,42.435426,-83.198514,"location
(42.435426, -83.198514)"
19712 Prest,22048863.,12100.00,06/26/2015,Closed,Selected,Homebuyer,Auction,2,San Bernardo,42.436061,-83.198541,"location
(42.436061, -83.198541)"
8275 Prest,22049435.,8700.00,07/01/2016,Closed,Selected,Homebuyer,Auction,7,Fiskhorn,42.354548,-83.195988,"location
(42.354548, -83.195988)"
17382 Greenfield,22050149.,1500.00,08/31/2016,Closed,Selected,Homebuyer,Auction,2,Winship,42.419021,-83.199042,"location
(42.419021, -83.199042)"
5903 Kensington,21072949.,15000.00,02/17/2017,Closed,Selected,Investor,Auction,4,East English Village,42.410631,-82.940018,"location
(42.410631, -82.940018)"
15721 Greenfield,22050839.002,3500.00,10/30/2015,Closed,Selected,Homebuyer,Auction,1,Crary/St Marys,42.405631,-83.199339,"location
(42.405631, -83.199339)"
13950 Winthrop,22051762.,1600.00,03/29/2018,Closed,Selected,,Auction,1,Greenfield-Grand River,42.387864,-83.198925,"location
(42.387864, -83.198925)"
17176 Mark Twain,22036870.,1700.00,06/24/2015,Closed,Selected,Homebuyer,Auction,2,Winship,42.417733,-83.186895,"location
(42.417733, -83.186895)"
16503 Mark Twain,22037209.,3600.00,08/25/2015,Closed,Selected,Homebuyer,Auction,1,Hubbell-Puritan,42.411674,-83.187373,"location
(42.411674, -83.187373)"
8615 Strathmoor,22038629.,1000.00,10/29/2014,Closed,Selected,,Auction,7,Joy-Schaefer,42.357665,-83.186305,"location
(42.357665, -83.186305)"
18972 Marlowe,22040916.,1000.00,06/19/2015,Closed,Selected,Homebuyer,Auction,2,Winship,42.429972,-83.190766,"location
(42.429972, -83.190766)"
