Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
9160 Yorkshire,21073257.,1600.00,06/16/2016,Closed,Selected,Homebuyer,Own It Now,4,Yorkshire Woods,42.41531,-82.94191,"location
(42.41531, -82.94191)"
2311 Hazelwood,10002172.,1033.00,09/09/2015,Closed,Selected,Investor,Own It Now,5,North LaSalle,42.372538,-83.103641,"location
(42.372538, -83.103641)"
1968 Gladstone,08002458.,1500.00,09/05/2017,Closed,Selected,Investor,Own It Now,5,North LaSalle,42.373732,-83.099284,"location
(42.373732, -83.099284)"
571 Westminster,03002642.,1400.00,08/31/2016,Closed,Selected,Homebuyer,Own It Now,5,North End,42.388271,-83.07625,"location
(42.388271, -83.07625)"
2517 Gladstone,10002060.,2000.00,05/12/2017,Closed,Selected,Homebuyer,Own It Now,5,North LaSalle,42.37069,-83.105889,"location
(42.37069, -83.105889)"
1989 Gladstone,08002428.,1000.00,06/07/2017,Closed,Selected,Homebuyer,Own It Now,5,North LaSalle,42.373136,-83.09932,"location
(42.373136, -83.09932)"
2218 Gladstone,10002110.,1100.00,03/31/2017,Closed,Selected,Homebuyer,Own It Now,5,North LaSalle,42.37276,-83.101895,"location
(42.37276, -83.101895)"
1969 Hazelwood,08002507.,7600.00,05/26/2017,Closed,Selected,Homebuyer,Own It Now,5,North LaSalle,42.374086,-83.099502,"location
(42.374086, -83.099502)"
3347 Dearing,09006237.,1027.00,08/14/2015,Closed,Selected,Investor,Own It Now,3,Campau/Banglatown,42.413501,-83.063091,"location
(42.413501, -83.063091)"
2530 Lothrop,10001156.,5000.00,07/17/2018,Closed,Selected,Investor,Own It Now,5,LaSalle Gardens,42.362103,-83.100535,"location
(42.362103, -83.100535)"
2484 Lothrop,10001162.,6100.00,12/05/2017,Closed,Selected,Homebuyer,Own It Now,5,LaSalle Gardens,42.362386,-83.099774,"location
(42.362386, -83.099774)"
2445 Lothrop,10001098.,2200.00,01/19/2018,Closed,Selected,Homebuyer,Own It Now,5,LaSalle Gardens,42.361977,-83.098624,"location
(42.361977, -83.098624)"
2530 S La Salle Gardens,10001275.,1000.00,08/08/2016,Closed,Selected,Investor,Own It Now,5,LaSalle Gardens,42.364523,-83.101987,"location
(42.364523, -83.101987)"
1974 Virginia Park,08002023.,2000.00,07/12/2017,Closed,Selected,Investor,,5,LaSalle Gardens,42.36955,-83.096671,"location
(42.36955, -83.096671)"
10334 Second,02001580.,3600.00,04/21/2016,Closed,Selected,Homebuyer,Own It Now,5,Gateway Community,42.389003,-83.089388,"location
(42.389003, -83.089388)"
12936 Greenview,22079785.,1000.00,03/29/2018,Closed,Selected,,Own It Now,1,Schoolcraft Southfield,42.383876,-83.223054,"location
(42.383876, -83.223054)"
4302 Waverly,14005408.,1000.00,02/22/2016,Closed,Selected,Homebuyer,,7,Russell Woods,42.386909,-83.136878,"location
(42.386909, -83.136878)"
13543 Greenview,22080486.,1300.00,03/30/2018,Closed,Selected,,Own It Now,1,Schoolcraft Southfield,42.384905,-83.223839,"location
(42.384905, -83.223839)"
1187 Lawrence,06002919.,2000.00,06/14/2018,Closed,Selected,,Own It Now,5,Gateway Community,42.386914,-83.097755,"location
(42.386914, -83.097755)"
514 Mt Vernon,03002082.,2100.00,06/13/2017,Closed,Selected,Homebuyer,Own It Now,5,North End,42.377738,-83.070615,"location
(42.377738, -83.070615)"
2242 Gladstone,10002107.,1892.00,10/26/2016,Closed,Selected,,Own It Now,5,North LaSalle,42.372609,-83.1023,"location
(42.372609, -83.1023)"
458 Hague,01002633.,5500.00,05/24/2018,Closed,Selected,Investor,Own It Now,5,North End,42.380665,-83.073222,"location
(42.380665, -83.073222)"
12028 Minock,22090730.,1000.00,03/08/2018,Closed,Selected,,Own It Now,7,Weatherby,42.374593,-83.23232,"location
(42.374593, -83.23232)"
4751 Sturtevant,14004700.,1000.00,06/10/2016,Closed,Selected,Homebuyer,Own It Now,7,Russell Woods,42.380595,-83.136291,"location
(42.380595, -83.136291)"
9127 Homer,20002771.,2100.00,11/29/2017,Closed,Selected,Demolish,Own It Now,6,Springwells,42.301408,-83.13168,"location
(42.301408, -83.13168)"
2056 Delaware,08001840.,1900.00,06/10/2016,Closed,Selected,Homebuyer,Own It Now,5,LaSalle Gardens,42.367375,-83.096825,"location
(42.367375, -83.096825)"
10241 Cameron,05004448.,1000.00,10/19/2017,Closed,Selected,Homebuyer,Own It Now,5,North End,42.392581,-83.075163,"location
(42.392581, -83.075163)"
2070 Virginia Park,08002011.,2000.00,05/16/2017,Closed,Selected,Homebuyer,Own It Now,5,LaSalle Gardens,42.369005,-83.098134,"location
(42.369005, -83.098134)"
2127 Helen,15009833.,2000.00,06/07/2018,Closed,Selected,,Own It Now,5,Islandview,42.355483,-83.009287,"location
(42.355483, -83.009287)"
2554 Canton,15009990.,2300.00,06/26/2018,Closed,Selected,,Own It Now,5,Islandview,42.359013,-83.01211,"location
(42.359013, -83.01211)"
13557 Faust,22079172.,1000.00,03/28/2018,Closed,Selected,,Own It Now,1,Schoolcraft Southfield,42.385119,-83.222599,"location
(42.385119, -83.222599)"
18568 Revere,13022435.,1300.00,11/16/2017,Closed,Selected,Homebuyer,Own It Now,3,Conant Gardens,42.429512,-83.067401,"location
(42.429512, -83.067401)"
11661 Westwood,22090050.,1000.00,03/26/2018,Closed,Selected,,Own It Now,7,Weatherby,42.372973,-83.231748,"location
(42.372973, -83.231748)"
2539 Inglis,20007295.,3500.00,12/20/2016,Closed,Selected,Homebuyer,Own It Now,6,Springwells,42.313278,-83.130417,"location
(42.313278, -83.130417)"
8372 Carlin,22031995.,2500.00,06/01/2017,Closed,Selected,Homebuyer,Own It Now,7,Joy-Schaefer,42.356125,-83.178241,"location
(42.356125, -83.178241)"
214 Owen,01002933.,2100.00,07/11/2017,Closed,Selected,Investor,Own It Now,5,North End,42.383823,-83.078141,"location
(42.383823, -83.078141)"
11627 Auburn,22092768.,1000.00,11/09/2017,Closed,Selected,Homebuyer,Own It Now,7,Weatherby,42.372464,-83.234159,"location
(42.372464, -83.234159)"
14224 Grandville,22088342.,1100.00,07/12/2018,Closed,Selected,,Own It Now,1,Westwood Park,42.390596,-83.230629,"location
(42.390596, -83.230629)"
1497 Campbell,16014363.,8240.00,11/30/2016,Closed,Selected,Homebuyer,Own It Now,6,Central Southwest,42.314448,-83.102296,"location
(42.314448, -83.102296)"
20501 Northlawn,16032065.,4200.00,07/19/2018,Closed,Selected,,Own It Now,2,Garden Homes,42.444838,-83.155092,"location
(42.444838, -83.155092)"
8126 Carlin,22031966.,3200.00,04/07/2017,Closed,Selected,Homebuyer,Own It Now,7,Joy-Schaefer,42.35312,-83.178108,"location
(42.35312, -83.178108)"
17128 Salem,22124280.,1000.00,12/07/2016,Closed,Selected,Investor,Own It Now,1,The Eye,42.414773,-83.284732,"location
(42.414773, -83.284732)"
18090 Justine,13018737.,1000.00,10/26/2017,Closed,Selected,Investor,Own It Now,3,Krainz Woods,42.427385,-83.058137,"location
(42.427385, -83.058137)"
1920 Central,18009657.,4900.00,05/18/2017,Closed,Selected,Investor,Own It Now,6,Springwells,42.310382,-83.12233,"location
(42.310382, -83.12233)"
20006 Washburn,16039435.,4500.00,06/13/2017,Closed,Selected,Homebuyer,Own It Now,2,McDowell,42.440083,-83.162045,"location
(42.440083, -83.162045)"
850 Rademacher,18007650.,4300.00,10/12/2016,Closed,Selected,Homebuyer,Own It Now,6,Central Southwest,42.307118,-83.108202,"location
(42.307118, -83.108202)"
300 Westminster,01003113.,1500.00,10/17/2017,Closed,Selected,Investor,Own It Now,5,North End,42.386833,-83.078507,"location
(42.386833, -83.078507)"
11663 Minock,22091373-4,2100.00,12/15/2017,Closed,Selected,Investor,Own It Now,7,Weatherby,42.37299,-83.232968,"location
(42.37299, -83.232968)"
319 Alger,01002743.,1000.00,06/23/2016,Closed,Selected,Homebuyer,Own It Now,5,North End,42.381404,-83.075403,"location
(42.381404, -83.075403)"
14675 Rutland,22068830.,2200.00,06/26/2017,Closed,Selected,Homebuyer,Own It Now,1,Grandmont,42.396829,-83.213531,"location
(42.396829, -83.213531)"
19005 Gallagher,13023406.,1000.00,12/13/2017,Closed,Selected,Homebuyer,Own It Now,3,Conant Gardens,42.432221,-83.070145,"location
(42.432221, -83.070145)"
12056 Plainview,22093820.,3000.00,05/26/2017,Closed,Selected,Homebuyer,Own It Now,7,Weatherby,42.374963,-83.23477,"location
(42.374963, -83.23477)"
18415 Dean,13020340.,2000.00,05/22/2018,Closed,Selected,,Own It Now,3,Krainz Woods,42.427999,-83.062057,"location
(42.427999, -83.062057)"
18469 Binder,13021419.,1000.00,07/11/2018,Closed,Selected,,Own It Now,3,Conant Gardens,42.428363,-83.064302,"location
(42.428363, -83.064302)"
8409 Carlin,22032167.,3200.00,05/05/2017,Closed,Selected,Homebuyer,Own It Now,7,Joy-Schaefer,42.356567,-83.178923,"location
(42.356567, -83.178923)"
14016 Fairmount Dr,21025284.,2300.00,11/30/2016,Closed,Selected,Homebuyer,Own It Now,3,Mohican Regent,42.443863,-82.97996,"location
(42.443863, -82.97996)"
4266 Buena Vista,14005192.,1000.00,06/20/2017,Closed,Selected,Investor,Own It Now,7,Russell Woods,42.385706,-83.135343,"location
(42.385706, -83.135343)"
244 Leicester Ct,01002983.,3500.00,01/29/2018,Closed,Selected,Investor,Own It Now,5,North End,42.384744,-83.078131,"location
(42.384744, -83.078131)"
20445 Indiana,16035837.,3900.00,11/08/2016,Closed,Selected,Homebuyer,Own It Now,2,Garden Homes,42.44398,-83.159551,"location
(42.44398, -83.159551)"
2551 Carson,20007169.,2000.00,04/04/2017,Closed,Selected,Investor,Own It Now,6,Springwells,42.313775,-83.129607,"location
(42.313775, -83.129607)"
20175 Roselawn,16030593.,2700.00,06/13/2017,Closed,Selected,Homebuyer,Own It Now,2,Garden Homes,42.442193,-83.153767,"location
(42.442193, -83.153767)"
13619 Rosemont,22077089.,1000.00,09/28/2017,Closed,Selected,Homebuyer,Own It Now,1,Schoolcraft Southfield,42.38598,-83.220182,"location
(42.38598, -83.220182)"
13600 Penrod,22077754.,4000.00,02/21/2018,Closed,Selected,,Own It Now,1,Schoolcraft Southfield,42.385774,-83.220619,"location
(42.385774, -83.220619)"
11720 Minock,22090724.,2800.00,05/18/2018,Closed,Selected,,Own It Now,7,Weatherby,42.373776,-83.232293,"location
(42.373776, -83.232293)"
17321 Westmoreland,22093450.,1625.00,11/05/2015,Closed,Selected,Investor,Own It Now,1,Evergreen-Outer Drive,42.417845,-83.236525,"location
(42.417845, -83.236525)"
3759 Tyler,14005234.,1400.00,08/02/2016,Closed,Selected,Homebuyer,Own It Now,7,Russell Woods,42.387765,-83.131013,"location
(42.387765, -83.131013)"
5303 Ashley,21078671.,2500.00,01/09/2018,Closed,Selected,Homebuyer,Own It Now,4,Cornerstone Village,42.41515,-82.917153,"location
(42.41515, -82.917153)"
8366 Lane,20003435.,2600.00,04/20/2016,Closed,Selected,Homebuyer,Own It Now,6,Springwells,42.306196,-83.128266,"location
(42.306196, -83.128266)"
9174 Guilford,21075728.,2000.00,05/15/2018,Closed,Selected,,Own It Now,4,Yorkshire Woods,42.418909,-82.936411,"location
(42.418909, -82.936411)"
11633 Auburn,22092767.,1400.00,06/16/2017,Closed,Selected,Homebuyer,Own It Now,7,Weatherby,42.372563,-83.234162,"location
(42.372563, -83.234162)"
13934 W Outer Drive,22126015.,1500.00,07/22/2016,Closed,Selected,Homebuyer,Own It Now,7,West Outer Drive,42.368566,-83.261287,"location
(42.368566, -83.261287)"
2398 Pearl,20007434.,4300.00,07/29/2016,Closed,Selected,Homebuyer,Own It Now,6,Springwells,42.311612,-83.130839,"location
(42.311612, -83.130839)"
2646 Norman,20007356.,4200.00,06/16/2016,Closed,Selected,Homebuyer,Own It Now,6,Springwells,42.314424,-83.131754,"location
(42.314424, -83.131754)"
1846 W Grand Blvd,14008057.001,2500.00,02/23/2017,Closed,Selected,Homebuyer,Own It Now,5,Midwest,42.352531,-83.109796,"location
(42.352531, -83.109796)"
1316 E Grand Blvd,15007711.,3600.00,06/27/2018,Closed,Selected,,Own It Now,5,Gratiot Town/Ketterring,42.377676,-83.021065,"location
(42.377676, -83.021065)"
19954 Cherrylawn,16033022.,4000.00,02/14/2018,Closed,Selected,,Own It Now,2,Garden Homes,42.439449,-83.155451,"location
(42.439449, -83.155451)"
19991 Mccormick,21079958.,2100.00,06/14/2018,Closed,Selected,,Own It Now,4,Moross-Morang,42.428938,-82.936107,"location
(42.428938, -82.936107)"
107 Melbourne,01002466.,1000.00,10/04/2017,Closed,Selected,Investor,Own It Now,5,North End,42.377319,-83.075645,"location
(42.377319, -83.075645)"
14001 Edmore Dr,21026634.,5500.00,01/26/2017,Closed,Selected,Homebuyer,Own It Now,3,Mohican Regent,42.447105,-82.980513,"location
(42.447105, -82.980513)"
12071 Plainview,22094569.,1000.00,04/03/2018,Closed,Selected,Investor,Own It Now,7,Weatherby,42.375117,-83.235461,"location
(42.375117, -83.235461)"
1106 Casgrain,18007895.,1500.00,09/14/2017,Closed,Selected,Investor,Own It Now,6,Central Southwest,42.309014,-83.108287,"location
(42.309014, -83.108287)"
4990 W Outer Drive,22125369.,8000.00,06/28/2017,Closed,Selected,Homebuyer,Own It Now,2,Schulze,42.430641,-83.176092,"location
(42.430641, -83.176092)"
18614 Binder,13021148.,1800.00,06/20/2017,Closed,Selected,Homebuyer,Own It Now,3,Conant Gardens,42.430058,-83.063714,"location
(42.430058, -83.063714)"
