Address,Parcel ID,Program,Listing Date,Neighborhood,Council District,Latitude,Longitude,Location
2707 Wreford,10000872.,Own It Now,09/25/2017,NW Goldberg,5,42.356944,-83.099511,"location
(42.356944, -83.099511)"
2653 Lothrop,10001117.,Own It Now,07/30/2018,Wildemere Park,5,42.360821,-83.101532,"location
(42.360821, -83.101532)"
2933 Lothrop,12001169.,Own It Now,11/13/2017,Wildemere Park,5,42.359888,-83.104028,"location
(42.359888, -83.104028)"
2940 Vicksburg,12001771.,Own It Now,10/30/2017,Wildemere Park,5,42.364641,-83.107331,"location
(42.364641, -83.107331)"
2910 Vicksburg,12001775.,Own It Now,11/13/2017,Wildemere Park,5,42.364815,-83.10687,"location
(42.364815, -83.10687)"
2989 Virginia Park,12001789.,Own It Now,11/27/2017,Wildemere Park,5,42.364658,-83.10837,"location
(42.364658, -83.10837)"
3044 Taylor,12002557.,Own It Now,07/30/2018,Jamison,5,42.370379,-83.113328,"location
(42.370379, -83.113328)"
3359 Leslie,12004108.,Own It Now,07/06/2018,Dexter-Linwood,5,42.3861,-83.127547,"location
(42.3861, -83.127547)"
15708 Alden,12011200-1,Own It Now,07/30/2018,Pilgrim Village,2,42.406685,-83.130264,"location
(42.406685, -83.130264)"
19148 Conley,13016555.,Own It Now,07/30/2018,Farwell,3,42.434148,-83.05234,"location
(42.434148, -83.05234)"
13443 Conley,13016869.,Own It Now,01/15/2018,Davison,3,42.415962,-83.052026,"location
(42.415962, -83.052026)"
18084 Fenelon,13016946.,Own It Now,07/16/2018,Krainz Woods,3,42.427304,-83.052747,"location
(42.427304, -83.052747)"
19181 Fenelon,13017239.,Own It Now,05/14/2018,Farwell,3,42.434515,-83.054168,"location
(42.434515, -83.054168)"
4291 Cortland,14004544.,Own It Now,02/19/2018,Russell Woods,7,42.38105,-83.132682,"location
(42.38105, -83.132682)"
4921 Cortland,14004570.,Own It Now,07/23/2018,Russell Woods,7,42.378829,-83.138575,"location
(42.378829, -83.138575)"
18695 Helen,15009404.,Own It Now,12/04/2017,Grant,3,42.431575,-83.031914,"location
(42.431575, -83.031914)"
5403 Oregon,16002688.,Own It Now,06/25/2018,Midwest,6,42.354863,-83.127349,"location
(42.354863, -83.127349)"
9302 Woodside,16018465.,Own It Now,03/19/2018,Midwest,6,42.363997,-83.137873,"location
(42.363997, -83.137873)"
12097 Prairie,16023415.,Own It Now,06/04/2018,Oakman Blvd Community,7,42.377513,-83.143828,"location
(42.377513, -83.143828)"
12025 Prairie,16023425.,Own It Now,07/23/2018,Oakman Blvd Community,7,42.376536,-83.143787,"location
(42.376536, -83.143787)"
13147 Tuller,16027174.,Own It Now,07/02/2018,Oakman Blvd Community,7,42.384681,-83.146667,"location
(42.384681, -83.146667)"
12678 Northlawn,16031630.,Own It Now,07/16/2018,Littlefield Community,7,42.382102,-83.152506,"location
(42.382102, -83.152506)"
8273 Knodell,17001938.,Own It Now,05/07/2018,Airport Sub,3,42.398588,-83.017691,"location
(42.398588, -83.017691)"
8103 E Grixdale,17004531.,Own It Now,11/27/2017,Mount Olivet,3,42.429844,-83.022022,"location
(42.429844, -83.022022)"
19688 Beland,17015395-6,Own It Now,07/09/2018,Pulaski,3,42.439849,-83.008762,"location
(42.439849, -83.008762)"
10351 Beechdale,18006273.,Own It Now,10/23/2017,Barton-McFarland,7,42.37022,-83.162843,"location
(42.37022, -83.162843)"
5954 Belvidere,19007680.,Own It Now,06/18/2018,Gratiot Woods,5,42.388589,-83.006726,"location
(42.388589, -83.006726)"
5412 Rohns,19009142.,Own It Now,07/16/2018,Gratiot Woods,5,42.383647,-83.005931,"location
(42.383647, -83.005931)"
13344 Wade,21006047.,Own It Now,07/30/2018,Outer Drive-Hayes,4,42.406085,-82.971016,"location
(42.406085, -82.971016)"
11828 Maiden,21006525.,Own It Now,07/02/2018,Wade,4,42.401494,-82.987032,"location
(42.401494, -82.987032)"
11779 Maiden,21006589.,Own It Now,01/15/2018,Wade,4,42.401612,-82.988091,"location
(42.401612, -82.988091)"
11109 Wilshire,21008526.,Own It Now,04/16/2018,Wade,4,42.405477,-82.992814,"location
(42.405477, -82.992814)"
